TGF Name,Ra,Dec,Start Time Observation,End Time Observation,Trigger Time,reliability,GeoLon,GeoLat,Normalised Duration,source
TGF240612910,195.0,-89.4167,1718228863.629086,1718229478.040479,1718229000.607543,1.0,89.35,25.1333,614.4113929271698,fermi_tgf
TGF140912846,44.05,-88.9333,1410552950.499344,1410553564.909087,1410553083.669372,1.0,165.65,25.4333,614.4097428321838,fermi_tgf
TGF140630748,128.7667,-88.45,1404150874.09177,1404151488.500829,1404151008.909626,1.0,349.8,8.0333,614.409059047699,fermi_tgf
TGF170909434,43.85,-86.8667,1504952537.359379,1504953151.77049,1504952669.457637,1.0,112.2167,24.6167,614.4111108779907,fermi_tgf
TGF100911473,176.0,-86.6667,1284203906.283452,1284204520.694683,1284204039.181785,1.0,93.883,24.35,614.4112310409546,fermi_tgf
TGF190105022,304.3,-86.1333,1546648204.835594,1546648819.247711,1546648338.854179,1.0,20.6667,12.7333,614.4121170043945,fermi_tgf
TGF180724548,140.9167,-85.1333,1532437588.014981,1532438202.427098,1532437724.913535,1.0,136.0833,19.9333,614.4121170043945,fermi_tgf
TGF130820401,40.3667,-83.85,1376991292.470807,1376991906.880108,1376991429.97676,1.0,79.9833,23.2167,614.4093010425568,fermi_tgf
TGF201025784,119.017,-83.3,1603651583.410813,1603652197.822045,1603651715.429167,1.0,19.6167,18.2333,614.4112319946289,fermi_tgf
TGF140804347,15.9667,-82.8667,1407140241.910435,1407140856.319414,1407140380.888398,1.0,239.2667,13.7,614.4089789390564,fermi_tgf
TGF180417162,264.4,-82.0,1523937039.235416,1523937653.646487,1523937176.213832,1.0,7.35,1.7667000000000002,614.411071062088,fermi_tgf
TGF200202897,121.8,-81.65,1580678954.962519,1580679569.373469,1580679093.188846,1.0,248.0333,17.0667,614.4109501838684,fermi_tgf
TGF230623782,152.183,-80.8667,1687545837.271714,1687546451.685078,1687545969.610405,1.0,85.05,21.0167,614.4133639335632,fermi_tgf
TGF160311670,133.5167,-80.7833,1457712175.661355,1457712790.071782,1457712310.767522,1.0,26.9833,5.75,614.4104270935059,fermi_tgf
TGF111121424,276.0667,-80.5667,1321870134.439494,1321870748.84968,1321870271.097614,1.0,132.717,-18.283,614.4101860523224,fermi_tgf
TGF161014981,207.2833,-80.2833,1476487793.307567,1476488407.718879,1476487927.181956,1.0,275.45,22.5333,614.4113121032715,fermi_tgf
TGF120605851,68.8167,-80.1667,1338927760.36254,1338928374.770714,1338927898.860361,1.0,107.033,25.117,614.4081740379333,fermi_tgf
TGF120312139,194.2333,-79.3833,1331522250.101808,1331522864.510585,1331522387.591587,1.0,63.317,-7.433,614.4087769985199,fermi_tgf
TGF220904222,18.6667,-79.25,1662268666.986139,1662269281.396003,1662268800.124222,1.0,297.0,4.9167,614.409863948822,fermi_tgf
TGF180814995,203.2167,-79.05,1534290634.069616,1534291248.478433,1534290770.919447,1.0,83.4333,18.9833,614.4088168144226,fermi_tgf
TGF240221917,116.117,-78.6833,1708552658.75203,1708553273.165636,1708552790.562822,1.0,340.6333,2.3667,614.4136061668396,fermi_tgf
TGF100927599,41.4167,-78.65,1285597261.838029,1285597876.249744,1285597394.560343,1.0,14.183,8.6,614.4117150306702,fermi_tgf
TGF211106362,89.2167,-77.9667,1636187947.310919,1636188143.922526,1636188081.585346,1.0,163.9,25.4167,196.61160683631897,fermi_tgf
TGF101230452,354.8667,-77.95,1293706101.204126,1293706715.613507,1293706238.150114,1.0,280.65,9.567,614.4093811511993,fermi_tgf
TGF170316801,105.75,-77.7333,1489691472.418146,1489692086.82805,1489691607.540326,1.0,128.85,-17.15,614.4099040031433,fermi_tgf
TGF211201765,301.0667,-77.5833,1638382754.48543,1638383368.896581,1638382891.095833,1.0,114.85,12.2,614.411150932312,fermi_tgf
TGF140603720,320.0,-77.5167,1401815703.50837,1401816317.918636,1401815842.310554,1.0,10.3667,1.1167,614.410266160965,fermi_tgf
TGF120809447,216.65,-77.3167,1344508895.513709,1344509034.075782,1344509033.723782,1.0,137.983,24.8,138.56207299232483,fermi_tgf
TGF150413702,2.0,-77.2833,1428943710.654366,1428943972.802854,1428943847.344713,1.0,95.5,1.9,262.1484880447388,fermi_tgf
TGF231018389,234.55,-77.2,1697620645.97767,1697621260.389586,1697620778.124127,1.0,283.0833,7.4,614.4119160175323,fermi_tgf
